timestamp,Electricity (kWh)
2022-03-13 02:07:56.000000 +00:00,83205.7151
2022-03-13 01:16:30.000000 +00:00,83204.712
2022-03-13 00:25:42.000000 +00:00,83203.7089
2022-03-12 23:22:57.000000 +00:00,83202.7082
2022-03-12 22:22:09.000000 +00:00,83201.7082
2022-03-12 21:25:01.000000 +00:00,83200.704
2022-03-12 20:31:15.000000 +00:00,83199.7033
2022-03-12 19:54:51.000000 +00:00,83198.6993
2022-03-12 19:03:26.000000 +00:00,83197.6954
2022-03-12 18:10:58.000000 +00:00,83196.6917
2022-03-12 17:19:32.000000 +00:00,83195.689
2022-03-12 16:29:26.000000 +00:00,83194.6795
2022-03-12 16:04:22.000000 +00:00,83193.6697
2022-03-12 15:23:38.000000 +00:00,83192.6644
2022-03-12 14:44:35.000000 +00:00,83191.6642
2022-03-12 14:16:11.000000 +00:00,83190.6609
2022-03-12 13:34:45.000000 +00:00,83189.6602
2022-03-12 13:08:03.000000 +00:00,83188.6556
2022-03-12 12:38:19.000000 +00:00,83187.6494
2022-03-12 12:13:35.000000 +00:00,83186.647
2022-03-12 11:31:11.000000 +00:00,83185.6414
2022-03-12 11:03:47.000000 +00:00,83184.6256
2022-03-12 10:33:24.000000 +00:00,83183.6211
2022-03-12 10:11:22.000000 +00:00,83182.6114
2022-03-12 09:34:16.000000 +00:00,83181.6035
2022-03-12 09:02:52.000000 +00:00,83180.5955
2022-03-12 08:17:28.000000 +00:00,83179.5914
2022-03-12 07:19:00.000000 +00:00,83178.5889
2022-03-12 06:16:33.000000 +00:00,83177.5881
2022-03-12 05:19:47.000000 +00:00,83176.5813
2022-03-12 04:19:59.000000 +00:00,83175.5795
2022-03-12 03:17:51.000000 +00:00,83174.5747
2022-03-12 02:18:04.000000 +00:00,83173.5728
2022-03-12 01:18:18.000000 +00:00,83172.5667
2022-03-12 00:19:50.000000 +00:00,83171.5614
2022-03-11 23:16:42.000000 +00:00,83170.561
2022-03-11 22:16:36.000000 +00:00,83169.55900000001
2022-03-11 21:21:29.000000 +00:00,83168.5581
2022-03-11 20:24:23.000000 +00:00,83167.5564
2022-03-11 19:31:55.000000 +00:00,83166.5536
2022-03-11 18:40:29.000000 +00:00,83165.5475
2022-03-11 18:12:27.000000 +00:00,83164.542
2022-03-11 17:47:43.000000 +00:00,83163.542
2022-03-11 17:14:40.000000 +00:00,83162.5369
2022-03-11 16:40:16.000000 +00:00,83161.5279
2022-03-11 16:09:12.000000 +00:00,83160.5205
2022-03-11 15:47:30.000000 +00:00,83159.5139
2022-03-11 15:30:48.000000 +00:00,83158.5011
2022-03-11 15:12:44.000000 +00:00,83157.4855
2022-03-11 14:56:42.000000 +00:00,83156.4711
2022-03-11 14:41:40.000000 +00:00,83155.469
2022-03-11 14:27:00.000000 +00:00,83154.4511
2022-03-11 14:14:38.000000 +00:00,83153.4411
2022-03-11 14:02:36.000000 +00:00,83152.4332
2022-03-11 13:55:16.000000 +00:00,83151.4325
2022-03-11 13:46:34.000000 +00:00,83150.3822
2022-03-11 13:38:14.000000 +00:00,83149.3531
2022-03-11 13:30:12.000000 +00:00,83148.3377
2022-03-11 13:19:30.000000 +00:00,83147.3283
2022-03-11 13:13:10.000000 +00:00,83146.303
2022-03-11 13:05:30.000000 +00:00,83145.2742
2022-03-11 12:58:48.000000 +00:00,83144.2549
2022-03-11 12:52:09.000000 +00:00,83143.2322
2022-03-11 12:43:47.000000 +00:00,83142.1323
2022-03-11 12:37:47.000000 +00:00,83141.1261
2022-03-11 12:29:05.000000 +00:00,83140.1221
2022-03-11 12:19:05.000000 +00:00,83139.1163
2022-03-11 12:09:43.000000 +00:00,83138.0903
2022-03-11 11:59:21.000000 +00:00,83137.0376
2022-03-11 11:49:01.000000 +00:00,83136.0096
2022-03-11 11:39:19.000000 +00:00,83134.9878
2022-03-11 11:30:19.000000 +00:00,83133.9506
2022-03-11 11:19:57.000000 +00:00,83132.9169
2022-03-11 11:10:15.000000 +00:00,83131.8915
2022-03-11 11:04:35.000000 +00:00,83130.8719
2022-03-11 10:56:15.000000 +00:00,83129.8173
2022-03-11 10:50:13.000000 +00:00,83128.7186
2022-03-11 10:45:53.000000 +00:00,83127.7087
2022-03-11 10:40:33.000000 +00:00,83126.6763
2022-03-11 10:35:31.000000 +00:00,83125.6481
2022-03-11 10:29:31.000000 +00:00,83124.6366
2022-03-11 10:23:51.000000 +00:00,83123.605
2022-03-11 10:17:49.000000 +00:00,83122.5564
2022-03-11 10:12:09.000000 +00:00,83121.5403
2022-03-11 10:03:47.000000 +00:00,83120.519
2022-03-11 09:54:27.000000 +00:00,83119.4954
2022-03-11 09:46:45.000000 +00:00,83118.4837
2022-03-11 09:41:25.000000 +00:00,83117.4522
2022-03-11 09:35:45.000000 +00:00,83116.3782
2022-03-11 09:29:23.000000 +00:00,83115.3511
2022-03-11 09:22:03.000000 +00:00,83114.3182
2022-03-11 09:15:41.000000 +00:00,83113.286
2022-03-11 09:08:41.000000 +00:00,83112.2315
2022-03-11 09:01:19.000000 +00:00,83111.2152
2022-03-11 08:52:39.000000 +00:00,83110.1383
2022-03-11 08:47:39.000000 +00:00,83108.9931
2022-03-11 08:37:37.000000 +00:00,83107.9713
2022-03-11 08:28:55.000000 +00:00,83106.9545
2022-03-11 08:20:16.000000 +00:00,83105.9303
2022-03-11 08:07:14.000000 +00:00,83104.8811
2022-03-11 07:59:34.000000 +00:00,83103.8597
2022-03-11 07:53:12.000000 +00:00,83102.74799999999
2022-03-11 07:43:32.000000 +00:00,83101.7349
2022-03-11 07:33:30.000000 +00:00,83100.6972
2022-03-11 07:23:08.000000 +00:00,83099.6659
2022-03-11 07:12:28.000000 +00:00,83098.6326
2022-03-11 07:05:06.000000 +00:00,83097.5457
2022-03-11 06:59:06.000000 +00:00,83096.5024
2022-03-11 06:55:06.000000 +00:00,83095.428
2022-03-11 06:44:24.000000 +00:00,83094.406
2022-03-11 06:35:02.000000 +00:00,83093.4039
2022-03-11 06:29:42.000000 +00:00,83092.3857
2022-03-11 06:24:22.000000 +00:00,83091.3529
2022-03-11 06:17:20.000000 +00:00,83090.3067
2022-03-11 06:01:18.000000 +00:00,83089.2606
2022-03-11 05:26:14.000000 +00:00,83088.2381
2022-03-11 04:35:48.000000 +00:00,83087.2373
2022-03-11 03:46:23.000000 +00:00,83086.2285
2022-03-11 02:58:57.000000 +00:00,83085.2251
2022-03-11 02:07:31.000000 +00:00,83084.2024
2022-03-11 01:17:45.000000 +00:00,83083.2009
2022-03-10 22:10:02.000000 +00:00,83079.3832
2022-03-10 21:19:16.000000 +00:00,83078.3785
2022-03-10 20:32:50.000000 +00:00,83077.3764
2022-03-10 19:48:26.000000 +00:00,83076.3717
2022-03-10 19:03:01.000000 +00:00,83075.3689
2022-03-10 18:21:55.000000 +00:00,83074.3676
2022-03-10 17:57:13.000000 +00:00,83073.3653
2022-03-10 17:33:09.000000 +00:00,83072.3593
2022-03-10 17:02:05.000000 +00:00,83071.31599999999
2022-03-10 16:41:03.000000 +00:00,83070.3135
2022-03-10 16:20:41.000000 +00:00,83069.2954
2022-03-10 16:06:19.000000 +00:00,83068.2844
2022-03-10 15:51:57.000000 +00:00,83067.2771
2022-03-10 15:37:55.000000 +00:00,83066.2319
2022-03-10 15:25:13.000000 +00:00,83065.2242
2022-03-10 15:12:11.000000 +00:00,83064.2215
2022-03-10 14:59:32.000000 +00:00,83063.2062
2022-03-10 14:49:10.000000 +00:00,83062.1835
2022-03-10 14:41:30.000000 +00:00,83061.0757
2022-03-10 14:35:48.000000 +00:00,83060.0639
2022-03-10 14:27:08.000000 +00:00,83058.9638
2022-03-10 14:20:26.000000 +00:00,83057.9204
2022-03-10 14:13:26.000000 +00:00,83056.6328
2022-03-10 14:03:04.000000 +00:00,83055.5892
2022-03-10 13:54:04.000000 +00:00,83054.5733
2022-03-10 13:43:02.000000 +00:00,83053.5095
2022-03-10 13:32:40.000000 +00:00,83052.5023
2022-03-10 13:21:40.000000 +00:00,83051.4253
2022-03-10 13:10:38.000000 +00:00,83050.4167
2022-03-10 13:01:16.000000 +00:00,83049.4132
2022-03-10 12:50:16.000000 +00:00,83048.4032
2022-03-10 12:38:54.000000 +00:00,83047.3739
2022-03-10 12:29:12.000000 +00:00,83046.3324
2022-03-10 12:23:52.000000 +00:00,83045.3177
2022-03-10 12:12:50.000000 +00:00,83044.2531
2022-03-10 12:01:10.000000 +00:00,83043.2326
2022-03-10 11:51:08.000000 +00:00,83042.2275
2022-03-10 11:41:06.000000 +00:00,83041.2262
2022-03-10 11:30:06.000000 +00:00,83040.1926
2022-03-10 11:18:44.000000 +00:00,83039.1636
2022-03-10 11:08:42.000000 +00:00,83038.1411
2022-03-10 11:01:42.000000 +00:00,83037.0914
2022-03-10 10:54:02.000000 +00:00,83036.069
2022-03-10 10:47:40.000000 +00:00,83035.0634
2022-03-10 10:39:21.000000 +00:00,83034.0393
2022-03-10 10:27:58.000000 +00:00,83033.0352
2022-03-10 10:18:37.000000 +00:00,83032.0108
2022-03-10 10:11:57.000000 +00:00,83030.9869
2022-03-10 10:06:37.000000 +00:00,83029.9532
2022-03-10 10:02:35.000000 +00:00,83028.8929
2022-03-10 09:55:15.000000 +00:00,83027.8168
2022-03-10 09:42:33.000000 +00:00,83026.8016
2022-03-10 09:32:11.000000 +00:00,83025.7848
2022-03-10 09:19:51.000000 +00:00,83024.7799
2022-03-10 09:06:49.000000 +00:00,83023.7481
2022-03-10 08:54:27.000000 +00:00,83022.7362
2022-03-10 08:42:05.000000 +00:00,83021.7159
2022-03-10 08:35:25.000000 +00:00,83020.7145
2022-03-10 08:22:23.000000 +00:00,83019.6947
2022-03-10 08:08:41.000000 +00:00,83018.6701
2022-03-10 07:57:41.000000 +00:00,83017.6606
2022-03-10 07:43:39.000000 +00:00,83016.6395
2022-03-10 07:30:57.000000 +00:00,83015.6356
2022-03-10 07:16:35.000000 +00:00,83014.6249
2022-03-10 07:02:13.000000 +00:00,83013.6132
2022-03-10 06:43:11.000000 +00:00,83012.5972
2022-03-10 06:36:11.000000 +00:00,83011.5573
2022-03-10 06:30:29.000000 +00:00,83010.5151
2022-03-10 06:25:09.000000 +00:00,83009.5066
2022-03-10 06:19:29.000000 +00:00,83008.4941
2022-03-10 05:30:44.000000 +00:00,83007.4883
2022-03-10 04:24:14.000000 +00:00,83006.4867
2022-03-10 03:16:46.000000 +00:00,83005.4856
2022-03-10 02:09:58.000000 +00:00,83004.4818
2022-03-10 01:02:51.000000 +00:00,83003.4787
2022-03-09 23:56:03.000000 +00:00,83002.4787
2022-03-09 22:46:55.000000 +00:00,83001.4756
2022-03-09 21:42:07.000000 +00:00,83000.4723
2022-03-09 20:40:40.000000 +00:00,82999.4697
2022-03-09 19:46:34.000000 +00:00,82998.4647
2022-03-09 18:58:08.000000 +00:00,82997.4588
2022-03-09 18:12:02.000000 +00:00,82996.4473
2022-03-09 17:34:56.000000 +00:00,82995.4407
2022-03-09 17:24:36.000000 +00:00,82994.3103
2022-03-09 17:13:54.000000 +00:00,82993.2893
2022-03-09 16:44:11.000000 +00:00,82992.2825
2022-03-09 16:28:29.000000 +00:00,82991.2768
2022-03-09 16:18:29.000000 +00:00,82990.2729
2022-03-09 16:08:07.000000 +00:00,82989.2707
2022-03-09 15:57:05.000000 +00:00,82988.2489
2022-03-09 15:45:45.000000 +00:00,82987.2169
2022-03-09 15:38:03.000000 +00:00,82986.2015
2022-03-09 15:30:43.000000 +00:00,82985.0453
2022-03-09 15:19:41.000000 +00:00,82984.0287
2022-03-09 15:12:21.000000 +00:00,82982.9602
2022-03-09 15:05:39.000000 +00:00,82981.9333
2022-03-09 14:57:59.000000 +00:00,82980.8003
2022-03-09 14:48:57.000000 +00:00,82979.6715
2022-03-09 14:39:17.000000 +00:00,82978.6331
2022-03-09 14:31:55.000000 +00:00,82977.5391
2022-03-09 14:24:15.000000 +00:00,82976.4838
2022-03-09 14:15:33.000000 +00:00,82975.4649
2022-03-09 14:01:51.000000 +00:00,82974.0397
2022-03-09 13:51:31.000000 +00:00,82972.9742
2022-03-09 13:42:09.000000 +00:00,82971.9397
2022-03-09 13:35:09.000000 +00:00,82970.7164
2022-03-09 13:29:27.000000 +00:00,82969.6625
2022-03-09 13:23:27.000000 +00:00,82968.5311
2022-03-09 13:11:45.000000 +00:00,82967.1255
2022-03-09 13:04:25.000000 +00:00,82966.0212
2022-03-09 12:56:23.000000 +00:00,82965.0149
2022-03-09 12:49:23.000000 +00:00,82963.834
2022-03-09 12:40:21.000000 +00:00,82962.8315
2022-03-09 12:31:01.000000 +00:00,82961.7533
2022-03-09 12:23:00.000000 +00:00,82960.7287
2022-03-09 12:14:00.000000 +00:00,82959.6943
2022-03-09 12:04:58.000000 +00:00,82958.6866
2022-03-09 11:55:16.000000 +00:00,82957.5605
2022-03-09 11:46:16.000000 +00:00,82956.3753
2022-03-09 11:37:14.000000 +00:00,82955.2752
2022-03-09 11:28:54.000000 +00:00,82954.2681
2022-03-09 11:22:32.000000 +00:00,82953.2472
2022-03-09 11:17:12.000000 +00:00,82952.1801
2022-03-09 11:10:12.000000 +00:00,82951.1363
