timestamp,Heat 2nd floor (kWh)
2020-03-05 15:54:41.000000 +00:00,481807.0
2020-03-05 15:42:05.000000 +00:00,481806.0
2020-03-05 15:29:26.000000 +00:00,481805.0
2020-03-05 15:16:45.000000 +00:00,481804.0
2020-03-05 15:04:00.000000 +00:00,481803.0
2020-03-05 14:51:12.000000 +00:00,481802.0
2020-03-05 14:38:21.000000 +00:00,481801.0
2020-03-05 14:25:27.000000 +00:00,481800.0
2020-03-05 14:12:30.000000 +00:00,481799.0
2020-03-05 13:59:31.000000 +00:00,481798.0
2020-03-05 13:46:28.000000 +00:00,481797.0
2020-03-05 13:33:22.000000 +00:00,481796.0
2020-03-05 13:20:13.000000 +00:00,481795.0
2020-03-05 13:07:02.000000 +00:00,481794.0
2020-03-05 12:53:53.000000 +00:00,481792.0
2020-03-05 12:40:46.000000 +00:00,481788.0
2020-03-05 12:14:43.000000 +00:00,481786.0
2020-03-05 12:01:46.000000 +00:00,481785.0
2020-03-05 11:48:52.000000 +00:00,481783.0
2020-03-05 11:37:37.000000 +00:00,481782.0
2020-03-05 11:23:12.000000 +00:00,481780.0
2020-03-05 10:57:45.000000 +00:00,481779.0
2020-03-05 10:46:40.000000 +00:00,481778.0
2020-03-05 10:32:29.000000 +00:00,481777.0
2020-03-05 10:19:56.000000 +00:00,481775.0
2020-03-05 10:07:26.000000 +00:00,481774.0
2020-03-05 09:54:59.000000 +00:00,481773.0
2020-03-05 09:42:34.000000 +00:00,481772.0
2020-03-05 09:30:07.000000 +00:00,481771.0
2020-03-05 09:17:37.000000 +00:00,481769.0
2020-03-05 09:05:05.000000 +00:00,481768.0
2020-03-05 08:52:29.000000 +00:00,481766.0
2020-03-05 08:39:50.000000 +00:00,481764.0
2020-03-05 08:27:08.000000 +00:00,481762.0
2020-03-05 08:14:23.000000 +00:00,481761.0
2020-03-05 08:03:12.000000 +00:00,481759.0
2020-03-05 07:48:45.000000 +00:00,481757.0
2020-03-05 07:39:05.000000 +00:00,481755.0
2020-03-05 07:22:54.000000 +00:00,481753.0
2020-03-05 07:09:54.000000 +00:00,481750.0
2020-03-05 06:56:51.000000 +00:00,481746.0
2020-03-05 06:30:37.000000 +00:00,481737.0
2020-03-05 06:17:25.000000 +00:00,481732.0
2020-03-05 06:04:16.000000 +00:00,481728.0
2020-03-05 05:51:10.000000 +00:00,481723.0
2020-03-05 05:38:07.000000 +00:00,481718.0
2020-03-05 05:25:07.000000 +00:00,481715.0
2020-03-05 05:15:23.000000 +00:00,481713.0
2020-03-05 04:59:15.000000 +00:00,481711.0
2020-03-05 04:46:24.000000 +00:00,481709.0
2020-03-05 04:33:36.000000 +00:00,481707.0
2020-03-05 04:20:51.000000 +00:00,481705.0
2020-03-05 04:08:08.000000 +00:00,481702.0
2020-03-05 03:55:29.000000 +00:00,481698.0
2020-03-05 03:42:53.000000 +00:00,481694.0
2020-03-05 03:30:20.000000 +00:00,481692.0
2020-03-05 03:17:50.000000 +00:00,481690.0
2020-03-05 03:05:22.000000 +00:00,481688.0
2020-03-05 02:52:58.000000 +00:00,481686.0
2020-03-05 02:40:31.000000 +00:00,481684.0
2020-03-05 02:28:01.000000 +00:00,481682.0
2020-03-05 02:15:28.000000 +00:00,481678.0
2020-03-05 02:02:52.000000 +00:00,481674.0
2020-03-05 01:56:33.000000 +00:00,481672.0
2020-03-05 01:37:32.000000 +00:00,481670.0
2020-03-05 01:24:47.000000 +00:00,481669.0
2020-03-05 01:11:59.000000 +00:00,481667.0
2020-03-05 00:59:08.000000 +00:00,481665.0
2020-03-05 00:52:42.000000 +00:00,481663.0
2020-03-05 00:33:18.000000 +00:00,481659.0
2020-03-05 00:20:18.000000 +00:00,481655.0
2020-03-05 00:07:15.000000 +00:00,481653.0
2020-03-04 23:55:47.000000 +00:00,481651.0
2020-03-04 23:42:39.000000 +00:00,481649.0
